"time_limit","decay_rate","packets_per_second","repititions","mean_throughput"
"300","70","1000","30","873"
"300","70","1000","30","845"
"300","70","1000","30","848"
"300","70","1000","30","838"
"300","70","1000","30","847"
"300","70","1000","30","847"
"300","70","1000","30","870"
"300","70","1000","30","852"
"300","70","1000","30","838"
"300","70","1000","30","862"
"300","70","1000","30","849"
"300","70","1000","30","867"
"300","70","1000","30","828"
"300","70","1000","30","865"
"300","70","1000","30","861"
"300","70","1000","30","875"
"300","70","1000","30","872"
"300","70","1000","30","840"
"300","75","1000","30","874"
"300","75","1000","30","882"
"300","75","1000","30","880"
"300","75","1000","30","880"
"300","75","1000","30","874"
"300","75","1000","30","867"
"300","75","1000","30","884"
"300","75","1000","30","884"
"300","75","1000","30","859"
"300","75","1000","30","878"
"300","75","1000","30","884"
"300","75","1000","30","888"
"300","75","1000","30","891"
"300","75","1000","30","885"
"300","75","1000","30","890"
"300","75","1000","30","883"
"300","75","1000","30","905"
"300","75","1000","30","858"
"300","75","1000","30","890"
"300","75","1000","30","892"
"300","75","1000","30","855"
"300","75","1000","30","887"
"300","75","1000","30","877"
"300","75","1000","30","873"
"300","75","1000","30","907"
"300","75","1000","30","889"
"300","75","1000","30","852"
"300","75","1000","30","881"
"300","75","1000","30","899"
"300","75","1000","30","852"
"300","80","1000","30","858"
"300","80","1000","30","876"
"300","80","1000","30","870"
"300","80","1000","30","887"
"300","80","1000","30","881"
"300","80","1000","30","861"
"300","80","1000","30","864"
"300","80","1000","30","878"
"300","80","1000","30","856"
"300","80","1000","30","859"
"300","80","1000","30","875"
"300","80","1000","30","860"
"300","80","1000","30","871"
"300","80","1000","30","861"
"300","80","1000","30","853"
"300","80","1000","30","869"
"300","80","1000","30","858"
"300","80","1000","30","865"
"300","80","1000","30","864"
"300","80","1000","30","871"
"300","80","1000","30","862"
"300","80","1000","30","899"
"300","80","1000","30","862"
"300","80","1000","30","862"
"300","80","1000","30","872"
"300","80","1000","30","872"
"300","80","1000","30","879"
"300","80","1000","30","877"
"300","80","1000","30","861"
"300","80","1000","30","854"
"300","85","1000","30","865"
"300","85","1000","30","857"
"300","85","1000","30","879"
"300","85","1000","30","867"
"300","85","1000","30","873"
"300","85","1000","30","870"
"300","85","1000","30","878"
"300","85","1000","30","863"
"300","85","1000","30","887"
"300","85","1000","30","871"
"300","85","1000","30","876"
"300","85","1000","30","889"
"300","85","1000","30","872"
"300","85","1000","30","871"
"300","85","1000","30","873"
"300","85","1000","30","886"
"300","85","1000","30","877"
"300","85","1000","30","876"
"300","85","1000","30","868"
"300","85","1000","30","866"
"300","85","1000","30","877"
"300","85","1000","30","874"
"300","85","1000","30","869"
"300","85","1000","30","891"
"300","85","1000","30","876"
"300","85","1000","30","883"
"300","85","1000","30","875"
"300","85","1000","30","878"
"300","85","1000","30","872"
"300","85","1000","30","891"
"300","90","1000","30","880"
"300","90","1000","30","874"
"300","90","1000","30","893"
"300","90","1000","30","881"
"300","90","1000","30","881"
"300","90","1000","30","891"
"300","90","1000","30","884"
"300","90","1000","30","906"
"300","90","1000","30","883"
"300","90","1000","30","886"
"300","90","1000","30","884"
"300","90","1000","30","894"
"300","90","1000","30","886"
"300","90","1000","30","868"
"300","90","1000","30","886"
"300","90","1000","30","890"
"300","90","1000","30","870"
"300","90","1000","30","886"
"300","90","1000","30","856"
"300","90","1000","30","866"
"300","90","1000","30","870"
"300","90","1000","30","885"
"300","90","1000","30","878"
"300","90","1000","30","880"
"300","90","1000","30","889"
"300","90","1000","30","884"
"300","90","1000","30","899"
"300","90","1000","30","881"
"300","90","1000","30","897"
"300","90","1000","30","852"
"300","95","1000","30","886"
"300","95","1000","30","886"
"300","95","1000","30","863"
"300","95","1000","30","892"
"300","95","1000","30","891"
"300","95","1000","30","881"
"300","95","1000","30","882"
"300","95","1000","30","875"
"300","95","1000","30","869"
"300","95","1000","30","867"
"300","95","1000","30","870"
"300","95","1000","30","873"
"300","95","1000","30","889"
"300","95","1000","30","882"
"300","95","1000","30","891"
"300","95","1000","30","869"
"300","95","1000","30","885"
"300","95","1000","30","881"
"300","95","1000","30","883"
"300","95","1000","30","876"
"300","95","1000","30","882"
"300","95","1000","30","876"
"300","95","1000","30","882"
"300","95","1000","30","880"
"300","95","1000","30","880"
"300","95","1000","30","863"
"300","95","1000","30","875"
"300","95","1000","30","883"
"300","95","1000","30","874"
"300","95","1000","30","888"
"300","100","1000","30","885"
"300","100","1000","30","869"
"300","100","1000","30","876"
"300","100","1000","30","882"
"300","100","1000","30","887"
"300","100","1000","30","877"
"300","100","1000","30","873"
"300","100","1000","30","877"
"300","100","1000","30","875"
"300","100","1000","30","886"
"300","100","1000","30","868"
"300","100","1000","30","877"
"300","100","1000","30","875"
"300","100","1000","30","890"
"300","100","1000","30","878"
"300","100","1000","30","878"
"300","100","1000","30","872"
"300","100","1000","30","888"
"300","100","1000","30","874"
"300","100","1000","30","883"
"300","100","1000","30","878"
"300","100","1000","30","877"
"300","100","1000","30","871"
"300","100","1000","30","880"
"300","100","1000","30","883"
"300","100","1000","30","881"
"300","100","1000","30","865"
"300","100","1000","30","890"
"300","100","1000","30","882"
"300","100","1000","30","867"
